NtsbNo,Event.Id,Organizational Climate,Safety Climate,Culture,Structure,Supervisory Conditions,Inadequate Supervision,Planned Inappropriate Operations,Failed to Correct Known Problem,Supervisory Violations,Personnel Conditions,Crew Resource Management,Personal Readiness,Operator Conditions,Adverse Mental State,Adverse Physiological State,Physical Limitations,Mental Limitations,Unsafe Conditions,Decision Errors,Skill-based Errors,Perceptual Errors,Routine Violations,Exceptional Violations
MIA01FA029,20001212X22314,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO
DCA00MA030,20001212X20606,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA00MA023,20001212X20339,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
DCA99MA060,20001212X18961,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO
FTW98IA196,20001211X09850,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES
DCA97MA055,20001208X08351,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
DCA97MA049,20001208X07893,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
DCA98MA023,20001211X09531,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
DCA89IA071,20001213X29334,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
NYC96LA148,20001208X06344,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
LAX97FA164,20001208X07738,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
CHI97IA072,20001208X07385,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
CHI97FA083,20001208X07495,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
NYC96FA174,20001208X06595,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
NYC97MA005,20001208X06964,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO
LAX96IA032,20001207X04715,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
MIA96FA059,20001208X05167,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
DCA96MA008,20001207X04839,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
ATL95MA106,20001207X03623,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
CHI95IA138,20001207X03253,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA94MA038,20001206X00888,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
DCA93MA040,20001211X12108,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
CHI93LA043,20001211X16023,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
DCA89MA027,20001213X27705,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
DCA90MA030,20001212X23372,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA89MA074,20001213X29335,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA89IA066,20001213X29088,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES
DCA88MA072,20001213X26528,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
FTW89IA070,20001213X27893,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
CHI08LA071,20080125X00103,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
CHI08IA119,20080506X00598,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO|UNKNOWN,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
NYC08LA234,20080720X01081,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
DCA09FA022,20081229X80551,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
OPS09IA002,20090225X83224,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO
DCA09FA047,20090505X04553,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
DCA09FA048,20090507X00926,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO
OPS09IA007,20090612X13814,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
OPS09IA008,20090619X84742,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO
CEN09LA461,20090724X34459,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
ERA09LA488,20090828X61756,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
ERA10LA041,20091030X64143,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA10IA015,20091214X41802,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
DCA10CA018,20091223X50505,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO
DCA10IA021,20100112X10853,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
OPS10IA015,20100317X00948,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
OPS10IA014,20100326X90457,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
WPR10FA199,20100410X34740,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO
ENG10IA026,20100503X82523,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO
OPS10IA155,20100510X84105,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
WPR10IA430,20100827X20401,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
OPS10IA574,20100916X50512,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA11FA004,20101027X04916,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
ERA11CA046,20101103X34855,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO
CEN11LA051,20101103X44221,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
OPS11IA246,20110121X43037,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO
OPS11IA271,20110207X84026,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
ENG11IA021,20110317X14552,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA11FA035,20110323X24235,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
OPS11IA410,20110324X53002,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
DCA11IA040,20110404X21934,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA11IA047,20110426X53639,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA11FA050,20110502X93814,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
ERA11CA296,20110513X41407,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
OPS11IA552,20110518X94643,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
ERA12CA044,20111020X14740,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
OPS12IA303,20120207X14951,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA12CA042,20120217X44044,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO
DCA12CA045,20120302X00956,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO
DCA12FA058,20120409X05702,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
ERA12LA498,20120807X32623,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
DCA13CA043,20130128X11324,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
DCA13IA058,20130220X32821,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA13FA071,20130408X10949,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
WPR13IA226,20130511X04905,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
DCA13CA091,20130517X14847,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO
DCA13CA106,20130614X14844,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO
DCA13FA131,20130723X13256,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA14IA016,20131122X05100,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
DCA14FA058,20140211X00047,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA14CA083,20140320X53321,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO
DCA14CA090,20140507X51410,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO
ENG14IA016,20140603X95748,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES
DCA14LA137,20140806X21104,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
OPS14IA011,20140819X44937,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA15FA004,20141006X73012,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA15CA012,20141023X80357,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA15CA025,20141121X15631,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
OPS15IA011,20150219X82450,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
OPS15IA017,20150416X33824,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
CEN15IA337,20150805X75232,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
DCA16LA032,20151216X41606,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO
OPS16IA002,20160127X70645,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
DCA16CA139,20160502X75955,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
ENG17IA003,20161027X90950,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
OPS17IA014,20170223X20017,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
DCA17LA122,20170523X12020,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
ENG17IA028,20170612X10422,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
DCA17CA214,20171002X95003,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
ENG18IA003,20171108X55532,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA18CA043,20171212X50255,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA18CA074,20180109X22437,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO
DCA18LA163,20180419X80338,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
DCA18CA283,20180905X90334,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA18LA285,20180907X10419,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
ENG18IA036,20180913X21320,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
DCA18CA294,20181001X90405,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO
DCA19IA036,20181206X45642,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
DCA19CA167,20190617X92437,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA20LA047,20200107X35017,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO
SEA08LA051,20080107X00025,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA08FA018,20071217X01939,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
LAX07LA189,20070712X00920,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
MIA07LA068,20070409X00387,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
DFW07IA077,20070228X00237,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
DEN07IA055,20070131X00119,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
DCA07IA008,20061103X01604,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA06FA068,20060908X01318,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
MIA06IA133,20060908X01321,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
NYC06LA151,20060720X00974,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
NYC06LA115,20060721X00983,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
NYC06LA114,20060522X00602,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
DEN06IA051,20060330X00368,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
CHI06LA092,20060329X00364,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO
DFW06FA056,20060131X00140,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO
DEN06IA020,20051202X01925,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
DEN06IA019,20051130X01905,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO
NYC06LA033,20051210X01960,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
DCA05MA099,20051025X01717,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
DCA05MA095,20050921X01501,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
LAX05LA218,20051110X01830,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO
DEN05IA092,20050628X00880,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
DEN05IA098,20050629X00896,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
NYC05FA094,20050627X00874,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
CHI05IA116,20050520X00650,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
CHI05FA077,20050317X00323,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
