NtsbNo,WeatherCondition,TimeOfDay,Investigation.Type,Event.Date,Air.carrier,Organizational Climate,Personnel Conditions,Supervisory Conditions,Operator Conditions,Unsafe Conditions,Fin_Quarter,Operating Expense per RTM,Operating Revenues_QoQ_pct,"Employment, Total Weighted Avg CY_QoQ_pct",merged_air_crash_data_weather.sky_cond_nonceil
DFW08CA215,VMC,Afternoon,Accident,8/14/2008,TRANS STATES AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,3,1.88,-1.029130857,3.367267032,FEW
ENG08IA022,,Evening,Incident,4/20/2008,KALITTA AIR LLC,Safety Climate,Crew Resource Management,Planned Inappropriate Operations,Mental Limitations,Skill-based Errors,2,0.72,11.11170051,6.94143167,
CHI08IA292,,Afternoon,Incident,9/22/2008,AMERICAN AIRLINES,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Decision Errors,3,1.65,288.0732307,-0.323991798,FEW
OPS09IA001,VMC,Evening,Incident,9/22/2008,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,3,1.65,288.0732307,-0.323991798,FEW
OPS09IA001,VMC,Evening,Incident,9/22/2008,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,3,1.65,288.0732307,-0.323991798,FEW
DCA09FA004,VMC,Afternoon,Accident,10/20/2008,UNITED AIRLINES,Safety Climate,Personal Readiness,Inadequate Supervision,Mental Limitations,Decision Errors,4,1.7,-1.423060915,-2.071431784,CLER
WPR09IA033,VMC,Evening,Incident,11/7/2008,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Physiological State,Perceptual Errors,4,1.4,1.856996192,0.419791519,
DCA09FA011,IMC,Morning,Accident,11/13/2008,PINNACLE AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.32,3.661553939,3.411320755,
ERA09IA056,VMC,Morning,Incident,11/16/2008,PIEDMONT AIRLINES,Structure,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,4,,0,0,SCAT
DCA08CA041,VMC,Morning,Accident,2/17/2008,REPUBLIC AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.21,-0.830631309,3.47826087,CLER
DCA08CA041,VMC,Morning,Accident,2/17/2008,REPUBLIC AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.21,-0.830631309,3.47826087,CLER
DCA09IA014,VMC,Evening,Incident,11/26/2008,DELTA AIRLINES,Structure,Personal Readiness,Planned Inappropriate Operations,Mental Limitations,Skill-based Errors,4,1.72,0.391549085,-1.562197655,
DCA09IA018,VMC,Evening,Incident,12/11/2008,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,4,1.72,0.391549085,-1.562197655,FEW
DCA09IA017,VMC,Evening,Incident,12/14/2008,AIR WISCONSIN AIRLINES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Mental Limitations,Perceptual Errors,4,2.85,-1.002748605,4.944620253,SCAT
CEN09LA093,IMC,Afternoon,Accident,12/3/2008,NORTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.29,-9.457948462,-0.471920717,UNK
CEN09FA094,VMC,Evening,Incident,12/16/2008,MESA AIRLINES,Structure,Crew Resource Management,Failed to Correct Known Problem,Mental Limitations,Skill-based Errors,4,2.05,-3.847577414,-2.06185567,FEW
ENG08IA025,,Evening,Incident,4/27/2008,FED EX,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,2,2.19,3.377425616,1.356857874,
ENG08IA042,,Morning,Incident,10/1/2008,SOUTHWEST AIRLINES,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,4,1.4,1.856996192,0.419791519,
DCA09MA021,VMC,Evening,Accident,12/21/2008,CONTINENTAL AIRLINES,Structure,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,4,1.49,-4.918112303,0.334294302,
ANC09IA015,VMC,Morning,Incident,12/20/2008,ALASKA AIRLINES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Mental Limitations,Skill-based Errors,4,1.68,-0.663194918,-0.421644413,CLER
WPR09IA065,IMC,Morning,Incident,12/24/2008,ALASKA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,4,1.68,-0.663194918,-0.421644413,
WPR09FA068,VMC,Morning,Accident,12/28/2008,NORTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Perceptual Errors,4,1.29,-9.457948462,-0.471920717,SCAT
WPR09FA068,VMC,Morning,Accident,12/28/2008,NORTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Perceptual Errors,4,1.29,-9.457948462,-0.471920717,SCAT
CEN09LA106,VMC,Evening,Accident,12/27/2008,REPUBLIC AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.1,-3.217047656,3.219512195,SCAT
DCA09FA022,VMC,Morning,Accident,12/26/2008,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,1.69,-0.794012967,-1.043709627,
CEN09LA114,VMC,Evening,Accident,12/23/2008,EVERGREEN INTERNATIONAL AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.05,-26.40510278,-10.49180328,FEW
ENG09IA002,,Morning,Incident,1/2/2009,DELTA AIRLINES,Structure,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,1,1.72,-3.425166365,-1.609267705,
DCA09MA026,,Afternoon,Accident,1/15/2009,U.S. AIRWAYS,Culture,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,1,2.2,-3.068099399,-1.205379276,
DCA09MA027,VMC,Evening,Accident,2/13/2009,COLGAN AIR,Culture,Crew Resource Management,Failed to Correct Known Problem,Adverse Physiological State,Decision Errors,1,4.07,25.99666387,32.1536906,
WPR09IA123,VMC,Afternoon,Incident,2/21/2009,SKYWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.66,-4.724190049,-3.021978022,CLER
OPS09IA002,,Afternoon,Incident,2/19/2009,AIRTRAN AIRWAYS,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.34,9.219748436,4.060777195,
DCA09FA033,,Morning,Accident,2/28/2009,ATLANTIC SOUTHEAST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,1.88,-6.85068859,2.127659574,
ERA09LA224,IMC,Afternoon,Accident,3/28/2009,DELTA AIRLINES,Safety Climate,Personal Readiness,Inadequate Supervision,Adverse Mental State,Decision Errors,1,1.72,-3.425166365,-1.609267705,SCAT
CEN09LA256,VMC,Evening,Accident,4/18/2009,CONTINENTAL AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.45,19.38953283,2.967707018,UNK
WPR09LA211,VMC,Evening,Accident,4/21/2009,MESA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.79,-8.007588314,-1.199040767,FEW
DCA09FA047,VMC,Afternoon,Accident,5/4/2009,NORTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.32,15.17144443,-1.593708497,SCAT
DCA09FA048,VMC,Afternoon,Accident,5/6/2009,WORLD AIRWAYS,Structure,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Decision Errors,2,0.81,-7.563637356,4.585152838,FEW
CEN09IA294,VMC,Evening,Incident,5/13/2009,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.37,-2.56904725,0.700035002,FEW
WPR09LA255,VMC,Afternoon,Accident,5/21/2009,AMERICAN EAGLE AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,2.55,-11.1748264,-1.514188903,FEW
DCA09CA051,VMC,Afternoon,Accident,5/20/2009,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.7,-5.981559999,-2.141715503,
OPS09IA006,VMC,Afternoon,Incident,6/1/2009,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.58,-5.55474984,-1.49841608,FEW
OPS09IA006,VMC,Afternoon,Incident,6/1/2009,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.58,-5.55474984,-1.49841608,FEW
ENG09IA007,,Afternoon,Incident,6/10/2009,UNITED AIRLINES,Culture,Crew Resource Management,Planned Inappropriate Operations,Mental Limitations,Skill-based Errors,2,1.6,-6.763666022,-2.369779722,
ERA09IA338,VMC,Evening,Incident,6/11/2009,ATLANTIC SOUTHEAST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.8,5.646039699,-10.96763085,FEW
OPS09IA007,VMC,Afternoon,Incident,6/3/2009,SOUTHWEST AIRLINES,Structure,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.37,-2.56904725,0.700035002,FEW
OPS09IA007,VMC,Afternoon,Incident,6/3/2009,SOUTHWEST AIRLINES,Structure,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.37,-2.56904725,0.700035002,FEW
OPS09IA008,,Morning,Incident,6/18/2009,U.S. AIRWAYS,Culture,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,2.02,-4.981727153,-1.458457485,
ERA09LA396,VMC,Afternoon,Accident,7/10/2009,JETBLUE AIRWAYS,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.11,-74.1911294,3.045878546,CLER
DCA09FA065,,Evening,Accident,7/13/2009,SOUTHWEST AIRLINES,Structure,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,3,1.27,-74.91039697,-0.936160352,
ERA09LA418,IMC,Morning,Accident,5/16/2009,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.7,-5.981559999,-2.141715503,CLER
CEN09LA461,IMC,Morning,Accident,7/11/2009,REPUBLIC AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.09,0,0,UNK
DCA09FA068,VMC,Afternoon,Accident,7/27/2009,REPUBLIC AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.09,0,0,
ENG09IA009,,Morning,Incident,7/15/2009,U.S. AIRWAYS,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,3,1.71,-75.57872146,-2.406263925,
DCA09CA069,IMC,Evening,Accident,8/4/2009,PINNACLE AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.38,287.9439485,-0.54045939,
ERA09LA444,VMC,Evening,Accident,8/6/2009,PIEDMONT AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,,0,0,FEW
OPS09IA009,VMC,Morning,Incident,6/26/2009,CONTINENTAL AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.45,19.38953283,2.967707018,SCAT
OPS09IA009,VMC,Morning,Incident,6/26/2009,CONTINENTAL AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.45,19.38953283,2.967707018,SCAT
DCA09IA071,VMC,Evening,Incident,8/3/2009,CONTINENTAL AIRLINES,Safety Climate,Personal Readiness,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.37,4.595527292,0.058305459,
ERA09LA488,IMC,Afternoon,Accident,8/27/2009,AIRTRAN AIRWAYS,Safety Climate,Crew Resource Management,Planned Inappropriate Operations,Adverse Mental State,Decision Errors,3,1.18,-0.810290501,2.566037736,
ENG09IA014,VMC,Morning,Incident,9/8/2009,SOUTHWEST AIRLINES,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,3,1.27,-74.91039697,-0.936160352,FEW
ENG09IA017,,Afternoon,Incident,9/3/2009,JETBLUE AIRWAYS,Culture,Crew Resource Management,Planned Inappropriate Operations,Mental Limitations,Perceptual Errors,3,1.11,-74.1911294,3.045878546,
ENG09IA016,Unknown,Evening,Incident,9/8/2009,DELTA AIRLINES,Structure,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,3,1.4,-75.91298887,-3.563262195,
ERA09LA529,,Evening,Accident,8/29/2009,CHAMPLAIN ENTERPRISES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,3,,0,0,
ENG09IA018,VMC,Evening,Incident,9/18/2009,CONTINENTAL AIRLINES,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,3,1.37,4.595527292,0.058305459,
CEN09IA606,VMC,Evening,Incident,7/31/2009,MESABA AVIATION,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,3.86,20.08112856,2.854938272,
OPS10IA001,VMC,Morning,Incident,10/19/2009,DELTA AIRLINES,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Decision Errors,4,1.6,-7.008851796,6.33979733,CLER
ERA10CA022,VMC,Evening,Accident,10/5/2009,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.6,-7.008851796,6.33979733,
DCA10IA001,,Evening,Incident,10/21/2009,NORTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.29,-9.457948462,-0.471920717,
ERA10CA036,IMC,Evening,Accident,10/27/2009,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.6,-7.008851796,6.33979733,OVCT
ERA10LA041,VMC,Afternoon,Accident,10/26/2009,AIR TRAN AIRWAYS,Structure,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,1.33,-5.205122182,3.23431427,
WPR10LA044,VMC,Morning,Accident,11/2/2009,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.6,-7.008851796,6.33979733,CLER
CEN10IA053,VMC,Evening,Incident,11/15/2009,FRONTIER AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.44,-9.619175478,5.366643535,
DCA10FA012,IMC,Evening,Accident,11/19/2009,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.44,-4.671950957,-2.525334364,
DCA10IA015,IMC,Evening,Incident,12/14/2009,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Supervisory Violations,Adverse Mental State,Decision Errors,4,1.58,-1.275557368,-1.741539096,
OPS10IA003,VMC,Morning,Incident,12/4/2009,PINNACLE AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,1.32,3.661553939,3.411320755,FEW
DCA10CA018,VMC,Afternoon,Accident,12/18/2009,AMERICAN EAGLE AIRLINES,Safety Climate,Personal Readiness,Planned Inappropriate Operations,Adverse Physiological State,Skill-based Errors,4,2.89,-2.889674623,-0.983538669,
CEN10IA084,VMC,Evening,Incident,12/26/2009,EXECUTIVE AIRLINES,Structure,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Decision Errors,4,4.89,1.556620863,1.475595914,SCAT
DCA10IA021,VMC,Morning,Incident,1/10/2010,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Routine Violations,1,1.5,0.36378876,-0.360609199,CLER
ENG10IA010,,Evening,Incident,1/12/2010,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Planned Inappropriate Operations,Mental Limitations,Skill-based Errors,1,1.62,0.121875085,-0.365877431,
DCA10IA022,VMC,Evening,Incident,1/19/2010,PSA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.76,9.884051521,-0.82815735,OVCT
WPR10LA134,VMC,Afternoon,Accident,2/13/2010,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.45,-2.279600634,-0.079917262,CLER
WPR10IA135,VMC,Morning,Incident,2/16/2010,SKYWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,1.39,5.490844294,3.250433777,FEW
ENG10IA016,,Morning,Incident,1/7/2010,ASTAR AIR CARGO,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,1,0.57,10.66098098,2.34791889,
DCA10CA032,Unknown,Evening,Accident,2/19/2010,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.5,0.36378876,-0.360609199,
ERA10CA174,VMC,Morning,Accident,3/11/2010,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.62,-3.545530986,-0.664932445,SCAT
CEN10IA157,VMC,Evening,Incident,3/13/2010,EXPRESSJET AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.08,7.170528964,0.247385584,
OPS10IA015,VMC,Evening,Incident,3/20/2010,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.45,-2.279600634,-0.079917262,
OPS10IA015,VMC,Evening,Incident,3/20/2010,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.45,-2.279600634,-0.079917262,
OPS10IA020,,Morning,Incident,3/27/2010,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.5,0.36378876,-0.360609199,
OPS10IA020,,Morning,Incident,3/27/2010,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.5,0.36378876,-0.360609199,
CEN10LA189,VMC,Morning,Accident,4/3/2010,REPUBLIC AIRLINES,Safety Climate,Personal Readiness,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.08,3.669647939,1.735476799,FEW
WPR10FA199,VMC,Evening,Accident,4/10/2010,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,2,1.33,19.58760031,0.079981181,FEW
CEN10LA218,IMC,Evening,Accident,4/6/2010,MESABA AVIATION,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,4.65,12.63144916,0,SCAT
CEN10IA219,VMC,Morning,Incident,4/18/2010,GOJET AIRLINES LLC,Culture,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,0.93,2.371643471,4.197080292,
CEN10LA220,,Morning,Accident,4/17/2010,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.48,11.97484485,-0.899992475,
ENG10IA026,,Morning,Incident,4/5/2010,JETBLUE AIRWAYS,Structure,Crew Resource Management,Failed to Correct Known Problem,Mental Limitations,Skill-based Errors,2,1.17,8.114905991,0.889008621,
OPS10IA132,VMC,Afternoon,Incident,4/28/2010,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.33,19.58760031,0.079981181,FEW
OPS10IA132,VMC,Afternoon,Incident,4/28/2010,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.33,19.58760031,0.079981181,FEW
CEN10LA240,,Evening,Accident,4/30/2010,AMERICAN AIRLINES,Safety Climate,Personal Readiness,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.48,11.97484485,-0.899992475,
OPS10IA155,VMC,Evening,Incident,4/22/2010,AMERICAN EAGLE AIRLINES,Structure,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,2.55,-11.1748264,-1.514188903,
